username	user_id	kept	deleted	total
Snowsurfer241	10607842	0	2	2
Betteramerica09	10399392	0	2	2
WeMüv	13996064	0	2	2
Ces2000	12031773	0	4	4
Amwario	11037927	0	2	2
Cgross77	11719931	0	2	2
FashVic	8968766	0	3	3
Jordanblob10	11686454	0	2	2
Fighterwing	9830882	0	4	4
Heymcfly53	9904284	0	3	3
Notaknot	10491904	0	2	2
Mundhravinit	8805835	0	3	3
Messedupgirlz	10073713	0	2	2
Meet2sonu85	14572586	0	4	4
Ben Ross 1996	17598938	0	2	2
Livelovelive	12060562	0	3	3
Andrewbite	15100102	0	2	2
Djdonza	10297153	0	3	3
Fhernandezmusic	11966427	0	2	2
Sstipton	9215268	0	2	2
Milhim Kabbani	13389431	0	2	2
TheSquareGroupArtists	14712393	0	2	2
Rajbharana	13469939	0	2	2
Maurading	9405942	0	2	2
El cucarachan	16477444	0	2	2
Esmith972	9973041	0	3	3
Bhakti Desta Alamsyah	19915224	0	2	2
Theman1830	13385253	0	3	3
Korybantes	14788004	0	2	2
My QQ Card	19021417	0	3	3
Miker95	15348896	0	2	2
Ekegreat	18603658	0	2	2
Jizzle23	13581447	0	2	2
Mr.kokc	8727428	0	4	4
DharmaShita	10795143	0	2	2
Biggestblueboy12	13606464	0	2	2
Timmyhmalta	8669052	0	2	2
Adrian019	15471936	0	2	2
Tenetbala	13977625	0	2	2
Madhanraj1	18906865	0	2	2
Dirtygaze	11653877	0	2	2
Zwyrgenm	12398440	0	3	3
Krazykarl333	13644867	0	2	2
Bellend09	9402960	0	3	3
Jamesslight	18706331	0	2	2
Jordancuts	8921356	0	2	2
Hayousef	14810246	0	2	2
Mikelartistatlanta	12879487	0	2	2
Generalsa	12156114	0	3	3
Sunny122	13949195	0	2	2
Ericagagg	12323749	0	2	2
Bleadbet	9302982	0	2	2
Coolhunterman	13951704	0	2	2
Jawad quadri0002r	13222260	0	2	2
Bassqwerty	9546785	0	2	2
Kaya1212	13779209	0	2	2
12nash5376	14540731	0	2	2
Schneider2009	10469719	0	3	3
Slon luke	9934706	0	2	2
Yuzhaoshen	12645667	0	4	4
Godanaki38	14125438	0	2	2
Gtfinfo	10261088	0	2	2
Jeaniepang	10390212	0	2	2
Zackery292	17792768	0	2	2
Cuteygirl94	10429411	0	2	2
Nicolas.zy	16186422	0	2	2
Rjgsmg	9114604	0	2	2
Atomic123	15885814	0	2	2
Wikizenia	11074262	0	2	2
Rzra3	10782139	0	2	2
Johame	11584816	0	2	2
Brantleyfox	10595401	0	2	2
Stefanblair	14680373	0	2	2
Smith667	17002926	0	2	2
LordZoth	14906887	0	2	2
Big capone	17228752	0	2	2
Ashish dsvv	12073912	0	2	2
Highscoolhoopz	9070009	0	4	4
16aliciav	11233314	0	2	2
WeLoveFootball	16681112	0	2	2
Abdulghany	12480806	0	3	3
Hahalolmariella	13489853	0	2	2
Tre4real	11042615	0	2	2
Itrcpk	14066738	0	2	2
Moses81	11463847	0	2	2
Nickoszinski	12132794	0	2	2
Daveyjwin	15031716	0	2	2
Blah2431	8687170	0	2	2
SupermodelME	9952728	0	2	2
Roadkill1x	16605098	0	2	2
Benvogel96	16499221	0	3	3
Moon95	14083894	0	2	2
Arlottat	16071280	0	2	2
Linuxstudent01	12727052	0	2	2
Wolfgang117	14220484	0	2	2
Esahakk	10372416	0	2	2
Nishka999999	9977632	0	3	3
Lifebridge	18677483	0	5	5
Pdiddy2595	9075751	0	2	2
Baiabianca	14775501	0	2	2
