username	user_id	kept	deleted	total
GRprefectures-have-been-dissolved	13883676	3	0	3
PaulaAbdul786	9743026	2	0	2
Curtis matheson11	11281186	2	0	2
Kuehnhardt	11612023	2	0	2
Amiacf31	9530362	2	0	2
Dhaval998	11598779	2	0	2
Shrey0007	10696028	2	0	2
LAKaelber	10688369	2	0	2
Meiyou	12965618	8	0	8
Chewbacca66	9833224	2	0	2
Roniruby	12898205	2	0	2
Pid23	10180959	3	0	3
Scochabouy	9760958	3	0	3
JoggleLobby	17616337	4	0	4
Paulapp28	15008611	2	0	2
Randsl	18421865	2	0	2
Ibadiaran1	15260784	2	0	2
Wikiwocow	20026226	2	0	2
AndrewTindall	10306771	2	0	2
N.Gallagher8	14174364	2	0	2
Marinda59	16213868	2	0	2
Alfred Marrow	13632609	2	0	2
Skifree23	16747406	2	0	2
Reggaewire	12270626	2	0	2
Dkleckner	12574631	2	0	2
Siskelandebert	16596093	2	0	2
Karen Keough	19654880	2	0	2
Vvds38	10891052	2	0	2
Vkrohit rohit	11747169	2	0	2
Jamesyboynz	10199580	2	0	2
Christars	8772493	2	0	2
Hopkinsmse	9442611	2	0	2
Delowarhossain	9582704	2	0	2
Michaelleslie29	15496398	2	0	2
JoshuSasori	16206094	2	0	2
Lightta	8963982	2	0	2
Mirwais Hotak	15034325	2	0	2
Patcutler	16718928	2	0	2
Thecalvin7	18550258	2	0	2
Gakhaa	10850122	2	0	2
Tomtommusic	10284376	2	0	2
BmoreArt	15750022	2	0	2
Nospeed cake	10348475	2	0	2
Davearmbrust	9836663	5	0	5
Nutwins	12528762	2	0	2
VernonD12	18893176	2	0	2
Zukabovich	9249790	3	0	3
Jasonsticca	18934647	2	0	2
Chauchaw	16472592	2	0	2
Jackson Consiglio	13217257	2	0	2
Jackeaze	19593205	2	0	2
Justicejew	9605903	2	0	2
Dustin Penner	13260332	2	0	2
Scholzst	8817228	2	0	2
Sludrawa11	15820595	2	0	2
U.N.C.L.E Strangelove	16697368	2	0	2
Jforjerald	9654974	5	0	5
Walk87314	11819986	2	0	2
Mercodavid1981	9239343	3	0	3
Handsome128	16295654	2	0	2
Devain67	13915600	2	0	2
CNSA 2	13050922	3	0	3
C30pfha3	8816057	2	0	2
NM91	12427958	2	0	2
Hogwild94	14866323	2	0	2
Knuckle Curve	9695071	3	0	3
Le quotidien	11025213	3	0	3
Alphadogmma	15821894	2	0	2
Huayu-Huayu	16088763	7	0	7
Chapmank2	8742954	2	0	2
Kennedia	9211337	4	0	4
Van Megan	11427523	3	0	3
Sperretta	10131936	2	0	2
Intestinal villus	18641164	2	0	2
Ar84	14186658	2	0	2
FotySeve	10150594	20	0	20
Hedbrant	9076761	2	0	2
Valjean61	19544879	3	0	3
Sorianogab	9149700	2	0	2
PrePharm	15485047	12	0	12
Instant Headache	12580079	2	0	2
Sydmenning	16859960	2	0	2
Paydehtsee	8844880	4	0	4
Verity Hunt	9372015	2	0	2
Helpsome	13266874	2	0	2
Georg87	8794926	4	0	4
KilgoreTrout42	8767856	3	0	3
JeffA87	18395846	6	0	6
Olnipper	14296664	2	0	2
Asklop	10859100	2	0	2
RaisetheRodger321	16948503	2	0	2
Kotlianik	9747139	2	0	2
Fayaz29	13689810	2	0	2
SNN95	18740376	2	0	2
Ichthus91	9879327	2	0	2
Navid1366	14222919	2	0	2
Pinoak55	9665690	2	0	2
Rizman92	19201259	2	0	2
HansSolo54	13277841	2	0	2
Mcnass11	10350731	2	0	2
