username	user_id	kept	deleted	total
Éric Gagnier	12226362	6	3	9
生命的天使	14477024	1	1	2
Zheng7924018	12173385	1	1	2
VanNessWu's	15626720	1	1	2
Maximum please	19033991	1	1	2
Hiddenhistoryww2	15263893	1	1	2
Dieterwerner	9290730	1	1	2
Simonmilespayne	9651841	2	1	3
Colors9844	14824182	1	1	2
Bagichanomali	15995176	1	1	2
Chadderton	9950196	2	1	3
Jakebaseball98	18208765	2	6	8
Poetstone	19057406	1	1	2
Hotman67	19273558	1	1	2
Etype67	12124795	1	1	2
TMNTOM	11810087	1	1	2
Kpeterscr	11867349	1	1	2
Mdaley55	18590627	1	1	2
Undertakerrrrrrrr	9791613	1	2	3
Master gujarati	11775863	1	1	2
Geogheganjoe	18079043	1	2	3
Snipeguy	15202643	1	2	3
Mq362205	9992365	1	1	2
Cat Sidhe	14239843	1	1	2
Emargolius	17783511	1	1	2
Ceo7	10825270	1	1	2
Ipakey	16366395	1	1	2
Tadamich	9960409	1	1	2
UAStoros	9135370	1	1	2
Tukkoo	10346414	1	2	3
Kessel27	9171851	1	2	3
Johnmurphy86	18505365	1	1	2
Andreibrebulet	19936150	4	1	5
Melisshe	14178089	1	1	2
Meggiemaw	16864335	1	1	2
11beamtnist	15574761	1	1	2
BrandonDuckWorthRox	18608525	1	2	3
IXan1	8918991	1	2	3
Sanjaceh	15848438	1	1	2
Bar-abban	12417150	15	4	19
George feliciouz	14887364	1	1	2
Anakha452	17455356	2	5	7
Muminbeliever	19552367	3	3	6
Plantsman101	11916547	1	1	2
Spartaneous	12969957	1	1	2
Duckett18	12378785	1	1	2
Eustace Door	19171418	1	1	2
Science222	9931131	1	1	2
LagonBlue	18976301	1	2	3
955 E Front St	19612399	1	1	2
Ukiedancer100	13023263	1	1	2
Rahmatgee	11695928	1	1	2
Anam90	16746307	1	1	2
Petermeister	10735106	1	1	2
Avautley	15179201	1	2	3
Innocentis2	13556526	1	1	2
Shubhankar.rocks	10960167	1	1	2
Prcims123	18435398	1	1	2
Palisi20	8973991	1	2	3
Temashibo	9775943	1	1	2
Adam butcher 14	10885289	1	1	2
Shakeyjake86	15151197	1	1	2
OBXSEXfan011809011401	18825294	1	1	2
Dmccartle	8809366	1	1	2
Williamsonunh	11021027	1	1	2
TankMaster2010	12471864	1	1	2
Seeme12	14703532	3	1	4
RSEPC	15208988	1	1	2
S3283907	14393797	1	1	2
Lambert611	9308650	1	1	2
TheRoro24	14794646	5	3	8
Davoje	9589311	1	1	2
Graytape	12356503	1	1	2
Jaythemeo	18650728	1	1	2
Eindhodho	13759341	1	2	3
Greenwald.a	17021323	1	1	2
Myownself12	11699947	1	1	2
Lumena444	17929966	1	1	2
Pakistani Boyzzz	14534514	1	1	2
Tnt-master	9558295	1	2	3
B.kadriu	12891221	1	1	2
Allankang007	16170059	1	1	2
Statxtree	17011993	1	1	2
Extasyblood	9618340	1	2	3
Littlegirl1225	10614430	1	2	3
Gounz	18696694	1	1	2
Fcarlier	19617581	1	1	2
Sahlan73	9860504	1	1	2
1990hughon	18111278	1	1	2
3DD!3$B0Y	15536490	2	1	3
Rmnrmrnmrnmr	13064765	2	1	3
Postbluepictures	14713168	1	1	2
Tigger4	9403880	1	2	3
Sherbet-london	9246336	2	1	3
Georgetown1	16143970	1	2	3
CandS4evr	9076369	1	2	3
Britneyperrygaga	10666762	5	1	6
ACchillin1	12302071	1	1	2
Musukundan	12900373	1	1	2
LinusE8	15991552	1	1	2
