username	user_id	kept	deleted	total
Sk8 boi	8734877	0	1	1
Wippard	19262917	0	1	1
Peter J. Comerford	15253017	0	1	1
Ymbert	12927855	0	1	1
CDT007	9628104	0	1	1
Rishimuni86	9131313	0	1	1
Eddie7667	15684039	0	1	1
Suryamahadeva	14066639	0	1	1
Jeffreymstein	11176539	0	1	1
Harishgkns	12448797	0	1	1
Lipservicesource	11912140	0	1	1
Guesswho50cal	15697072	0	1	1
LindaKu2094	10109464	0	1	1
Nwhitingx	9898069	0	1	1
Tankoniteous	12046668	0	1	1
Smccarthy727	16291246	0	1	1
Russian colonel	12941464	0	1	1
MaiVGH	13422013	0	1	1
Zidane98	10766212	0	1	1
Wizabough	15016922	0	1	1
Wernbergb	11052005	0	1	1
Chotkibhai	12389101	0	1	1
Nidhintv	9534338	0	1	1
Stapelz88	10943671	0	1	1
CougFan2311	12447521	0	1	1
Jonaolaoljo	9120985	0	1	1
Da117189	10721405	0	1	1
O0smaj0o	17296236	0	1	1
Mitchbroad	13504901	0	1	1
Todd Jewell	18694433	0	1	1
Uberaftab	16026278	0	1	1
KYOMIX	11484503	0	1	1
BASTIANSAFAG	11570878	0	1	1
Heliconcontemporary	9059412	0	1	1
Mikeoki	12612709	0	1	1
Asgaonkar29	10187820	0	1	1
Gongtuffreggae	10778696	0	1	1
AnimatedKid	14113370	0	1	1
H Scott Hunt	10413324	0	1	1
Emberhelen	11039051	0	1	1
Jagpunjabitv	19537602	0	1	1
Darksoulseed	14195780	0	1	1
Beundrer	14548437	0	1	1
Aaron.hoberman	13029860	0	1	1
Politicalpawn	11440254	0	1	1
Gururajanjan	17051782	0	1	1
CROCODILE02	8988556	0	1	1
Brenkema	9181665	0	1	1
Luke Bayliss	13595553	0	1	1
Beeline123	14786140	0	1	1
Megaleo234	11596190	0	1	1
Tiffanyjung	14035329	0	1	1
Plassy	17718207	0	1	1
Hailsatan0234	14662511	0	1	1
Sachava	9176022	0	1	1
Bobshingel	13483571	0	1	1
Shaydowg	12963358	0	1	1
Beanzbeanzbeanz	13075706	0	1	1
Is it a dragon	13203565	0	1	1
Brilubic	15331736	0	1	1
Wonderful2321	16548851	0	1	1
TyRidge98	17515069	0	1	1
Wrhaa	14337327	0	1	1
Peter Toubro	15408527	0	1	1
Cf7226	18852656	0	1	1
Piophyne	11498259	0	1	1
Howserman100	14859857	0	1	1
Conexos	14529845	0	1	1
Rakjaer	18999777	0	1	1
Jobsquad	10815127	0	1	1
GarryPaterson1993	11352827	0	1	1
TransformAction	12970081	0	1	1
Trowbridge tim	11562274	0	1	1
Nawtyd0g	10120988	0	1	1
Thatguy739	17001275	0	1	1
Sliferzon	10237424	0	1	1
Bangimage	18736193	0	1	1
Noorayeshabano	12470913	0	1	1
Ccromar	9027558	0	1	1
Joshgillman	14879294	0	1	1
Awesomemann	12364178	0	1	1
Puping	15381745	0	1	1
Coolaster	14559619	0	1	1
Mayanknauni	8677757	0	1	1
Smithay89	12496679	0	1	1
Jimex814	12036571	0	1	1
Alexvexx	10241609	0	1	1
Bjs2012	17849777	0	1	1
Cb702	12581426	0	1	1
Markdeamira	17445542	0	1	1
Roobo	13234434	0	1	1
Rdgsys	11080286	0	1	1
Track32drummer	15887966	0	1	1
BackBaySushi	8853654	0	1	1
Shashankraina	15125099	0	1	1
Snarf69	9411911	0	1	1
Rsociety	12885324	0	1	1
Liamchelsea	13859112	0	1	1
Edsu99	9237973	0	1	1
Iuri.papavadze	14579783	0	1	1
