username	user_id	kept	deleted	total
Jsafrasarasin	19857559	1	0	1
UnseenPhotoFair	19703248	1	0	1
KA95bzz	19175058	1	0	1
Tytanium alloy	8641840	1	0	1
Sllyscrlt	18364910	1	0	1
Emo5211	9114669	1	0	1
Pinksuggar	16775139	1	0	1
Sundeeprbhat	17719692	1	0	1
XPwnage	16912019	1	0	1
Ariechel	15661311	1	0	1
Jiella	11164132	1	0	1
JoAnneMcFarland	18114516	1	0	1
Deleuth	15480781	1	0	1
Proxcess	9790054	1	0	1
Dianacretz	15999166	1	0	1
Crezlowsilence45	9986149	1	0	1
Tanyapremoren	9723282	1	0	1
Jasonkoob	10572945	1	0	1
Ontina	9975396	1	0	1
Kevin Girard	10361593	1	0	1
Kirstenfrankly	18670286	1	0	1
Kcleevely	17065914	1	0	1
Penny713hk	16376409	1	0	1
Jbone85	19059727	1	0	1
Sortmean2	14070221	1	0	1
Mayoteam	10485643	1	0	1
Razmigmichaelian	19572823	1	0	1
Abrahamjincoln	17704549	1	0	1
JMTB013	14051520	1	0	1
Toocrazy999	12899596	1	0	1
Harmon1809	17111369	1	0	1
Eileen Underwood	14378391	1	0	1
Eunanmcmenamin	9392869	1	0	1
Josephthudson	9298954	1	0	1
Arcay	12896739	1	0	1
PungoESdaBst	13191993	1	0	1
WisconsinGPS	16271752	1	0	1
Nndnaresh	13284535	1	0	1
Omkyaaakutya	19271712	1	0	1
PAL001	11082027	1	0	1
Typukatch	14789269	1	0	1
Harman1122	19142092	1	0	1
Podogusha	17058294	1	0	1
Mithuduara	19095372	1	0	1
Cmexonline	8849090	1	0	1
Kmhossain1982	14205274	1	0	1
AdamLawson	13177684	1	0	1
Toriendar435	9824832	1	0	1
Drewstercox	14436710	1	0	1
Keerankarkera	17728142	1	0	1
Nafdik	15370065	1	0	1
Njavasta	17853183	1	0	1
Kamarudduja	13207505	1	0	1
Murka95	12526734	1	0	1
Abc98480	14873764	1	0	1
527SPL	11331822	1	0	1
Athabascan123	15704215	1	0	1
Robbin R	18876438	1	0	1
Gajet77	17417904	1	0	1
AranandRachel	13092470	1	0	1
JFL1991	14571445	1	0	1
FraserWhieldon	19389285	1	0	1
NikanderBruggeman	16981790	1	0	1
DonaldBly	11767222	1	0	1
DavidJayBrown	9479273	1	0	1
Danielc10	12168658	1	0	1
Mraulet	11574470	1	0	1
Dvgv	12713449	1	0	1
Tosunishi	12874001	1	0	1
Sinister Shades	13882070	1	0	1
Chinitoy17	19136934	1	0	1
Otria	11778050	1	0	1
Mmohamedbasith	17409529	1	0	1
Hotdog93	13275461	1	0	1
CobraCommander138	17300724	1	0	1
Andrewlvp	15842931	1	0	1
BioALIEN	9088965	1	0	1
Librarianjudith	12088777	1	0	1
ContNYC	12035018	1	0	1
Arsdac	19642400	1	0	1
Plebe1	11471200	1	0	1
Alexanderalgrim	11400301	1	0	1
Auronxxx	14304385	1	0	1
Icedmonkey47	14459902	1	0	1
Dolewis879	16989892	1	0	1
SeventeenForever17	8743983	1	0	1
Kidchor	8636642	1	0	1
Shazanimal	17601372	1	0	1
Borongtao	8701847	1	0	1
Ef2000	16530098	1	0	1
Matt926	9232202	1	0	1
Sbgould	10847458	1	0	1
Crokis.chile	10475713	1	0	1
VardiArt	10381493	1	0	1
Renisrinivas	17317514	1	0	1
Sianwj	11737168	1	0	1
Mistermorris777	13201687	1	0	1
Hatman1960	9315844	1	0	1
Doctorfuse	15216982	1	0	1
Aaronwwoods	19107974	1	0	1
